id,eeprom,speed_mode,fan_qtd,speed_control,project_type,bios_id
338,ThinkPad P14s Gen 6 AMD,Hexadecimal,Single Fan,1,32,R2X
339,ThinkPad T16 Gen 4,Hexadecimal,Single Fan,1,32,R2X
340,ThinkPad P16s Gen 4 AMD,Hexadecimal,Single Fan,1,32,R2X
341,ThinkPad X13 Gen 6,Hexadecimal,Single Fan,1,2,R32
342,ThinkPad T14s Gen 6,Hexadecimal,Single Fan,1,32,R33
343,ThinkPad P1 Gen 8,Hexadecimal,Dual Fan,1,2,N4E
344,ThinkPad P16v Gen 3,Hexadecimal,Dual Fan,1,2,N4G
345,ThinkPad P16 Gen 3,Hexadecimal,Dual Fan,1,2,N4F
346,ThinkPad X1 Carbon Gen 13,Hexadecimal,Dual Fan,1,2,N4M
347,ThinkPad X1 2-in-1 Gen 10,Hexadecimal,Dual Fan,1,2,N4M
348,ThinkPad P14s Gen 6,Hexadecimal,Single Fan,1,2,R2X
349,ThinkPad P16s Gen 4,Hexadecimal,Single Fan,1,2,R2X
350,ThinkPad L13 2-in-1 Gen 2,Hexadecimal,Single Fan,1,32,R2T
351,ThinkPad T14p Gen 3,Hexadecimal,Dual Fan,1,2,R2W
352,ThinkPad P16s Gen 4,Hexadecimal,Dual Fan,1,2,R2W
353,ThinkPad E14 RPL-R Gen 7,Hexadecimal,Single Fan,1,32,R2Y
354,ThinkPad E16 RPL-R Gen 3,Hexadecimal,Single Fan,1,32,R2Y
355,ThinkPad E14 Gen 7,Hexadecimal,Single Fan,1,32,R34
356,ThinkPad R14s Gen 5,Hexadecimal,Single Fan,1,2,R2A
357,ThinkPad T14p Gen 1,Hexadecimal,Dual Fan,1,2,R2B
358,ThinkPad T14 Gen 3,Hexadecimal,Single Fan,1,2,N3M
359,ThinkPad P14s Gen 3,Hexadecimal,Single Fan,1,2,N3M
360,ThinkPad T16 Gen 1,Hexadecimal,Single Fan,1,2,N3M
361,ThinkPad P16s Gen 1,Hexadecimal,Single Fan,1,2,N3M
362,ThinkPad E14 Gen 6,Hexadecimal,Single Fan,1,32,R2J
363,ThinkPad R14 Gen 6,Hexadecimal,Single Fan,1,32,R2J
364,ThinkPad P14s Gen 5,Hexadecimal,Dual Fan,1,2,R2D
365,ThinkPad E14 Gen 7,Hexadecimal,Single Fan,1,32,R2Z
366,ThinkPad E16 Gen 3,Hexadecimal,Single Fan,1,32,R2Z
367,ThinkPad T14s Gen 6,Hexadecimal,Single Fan,1,2,N4K
368,ThinkPad T14s 2-in-1 Gen 1,Hexadecimal,Single Fan,1,2,N4K
369,ThinkPad T14 Gen 6,Hexadecimal,Single Fan,1,2,N4J
370,ThinkPad T16 Gen 4,Hexadecimal,Single Fan,1,2,N4J
371,ThinkPad X13 Gen 6,Hexadecimal,Single Fan,1,2,N4L
372,ThinkPad P14s Gen 6,Hexadecimal,Dual Fan,1,2,R2W
373,ThinkPad T14 Gen 7,Hexadecimal,Single Fan,1,2,R38
374,ThinkPad P14s Gen 7,Hexadecimal,Single Fan,1,2,R38
375,ThinkPad P14s Gen 7 AMD,Hexadecimal,Single Fan,1,2,R38
376,ThinkPad T16 Gen 5,Hexadecimal,Single Fan,1,2,R38
377,ThinkPad X1 Carbon Gen 14,Hexadecimal,Dual Fan,1,1,N4O
378,ThinkPad X1 2-in-1 Gen 11,Hexadecimal,Dual Fan,1,1,N4O
379,ThinkPad X13 Detachable Gen 1,Hexadecimal,Dual Fan,1,2,R3I
381,ThinkPad X9-15p Gen 1,Hexadecimal,Dual Fan,1,1,N4Q
382,ThinkPad P1 Gen 9,Hexadecimal,Dual Fan,1,2,N4S
383,ThinkPad T1g Gen 9,Hexadecimal,Dual Fan,1,2,N4S
384,ThinkPad L14 Gen 7,Hexadecimal,Single Fan,1,32,R3G
385,ThinkPad L16 Gen 3,Hexadecimal,Single Fan,1,32,R3G
386,ThinkPad L13 Gen 7,Hexadecimal,Single Fan,1,32,R3M
387,ThinkPad L13 2-in-1 Gen 7,Hexadecimal,Single Fan,1,32,R3M
388,ThinkPad L14 Gen 7,Hexadecimal,Single Fan,1,32,R3N
389,ThinkPad L16 Gen 3,Hexadecimal,Single Fan,1,32,R3N
390,ThinkPad L14 Gen 7,Hexadecimal,Single Fan,1,32,R3E
391,ThinkPad L16 Gen 3,Hexadecimal,Single Fan,1,32,R3E
393,ThinkPad T14s Gen 7,Hexadecimal,Single Fan,1,2,N4U
394,ThinkPad T14s 2-in-1 Gen 2,Hexadecimal,Single Fan,1,2,N4U
395,ThinkPad X13 Gen 7,Hexadecimal,Single Fan,1,2,N4V
396,ThinkPad T14 Gen 7,Hexadecimal,Single Fan,1,2,N4V
397,ThinkPad T14 Gen 7,Hexadecimal,Single Fan,1,2,N4T
398,ThinkPad T16 Gen 5,Hexadecimal,Single Fan,1,2,N4T
399,ThinkPad T14p Gen 4,Hexadecimal,Dual Fan,1,2,N4W
400,ThinkPad P14s Gen 7,Hexadecimal,Dual Fan,1,2,N4W
401,ThinkPad P16s Gen 5,Hexadecimal,Dual Fan,1,2,N4W
402,ThinkPad X13 Gen 7,Hexadecimal,Single Fan,1,2,R3B
403,ThinkPad T14s Gen 7,Hexadecimal,Single Fan,1,2,R3C
404,ThinkPad P16s Gen 5,Hexadecimal,Dual Fan,1,2,R3H
405,ThinkPad T16s Gen 5,Hexadecimal,Single Fan,1,2,R3K
406,ThinkPad T14 Gen 7,Hexadecimal,Single Fan,1,2,R3K
407,ThinkPad T14s Gen 7,Hexadecimal,Single Fan,1,2,N4P
408,ThinkPad E14 Gen 8,Hexadecimal,Single Fan,1,2,R37
409,ThinkPad E16 Gen 4,Hexadecimal,Single Fan,1,2,R37
410,ThinkPad X14 Gen 1,Hexadecimal,Dual Fan,1,2,R39
411,ThinkPad E16 Gen 4,Hexadecimal,Single Fan,1,32,R3A
412,ThinkPad E16 Gen 4,Hexadecimal,Single Fan,1,32,R35
413,ThinkPad E14 Gen 8,Hexadecimal,Single Fan,1,32,R3A
414,ThinkPad E14 Gen 8,Hexadecimal,Single Fan,1,32,R35
415,ThinkPad L14p Gen 7,Hexadecimal,Single Fan,1,32,R3A
416,ThinkPad L14p Gen 7,Hexadecimal,Single Fan,1,32,R35
